Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.61888E+12,4/20/2021 0:03,ETHUSD,2155.88,2155.88,2154.38,2154.38,0.701288
1.61888E+12,4/20/2021 0:02,ETHUSD,2168.63,2168.63,2155.88,2155.88,30.750737
1.61888E+12,4/20/2021 0:01,ETHUSD,2172.16,2177.59,2168.63,2168.63,15.45885127
1.61888E+12,4/20/2021 0:00,ETHUSD,2162.69,2176,2162.69,2172.16,33.16591
1.61888E+12,4/19/2021 23:59,ETHUSD,2166.54,2166.54,2162.36,2162.69,23.615627
1.61888E+12,4/19/2021 23:58,ETHUSD,2168.86,2171.3,2166.54,2166.54,37.815787
1.61888E+12,4/19/2021 23:57,ETHUSD,2162.96,2169.43,2162.96,2168.86,2.870899
1.61888E+12,4/19/2021 23:56,ETHUSD,2161.69,2163.38,2161.69,2162.96,0.634661
1.61888E+12,4/19/2021 23:55,ETHUSD,2160.66,2163.03,2159.86,2161.69,1.247678
1.61888E+12,4/19/2021 23:54,ETHUSD,2160.34,2164.67,2160.34,2160.66,9.87640142
1.61888E+12,4/19/2021 23:53,ETHUSD,2166.95,2166.95,2160.34,2160.34,1.715919
1.61888E+12,4/19/2021 23:52,ETHUSD,2160.74,2166.95,2160.74,2166.95,4.280697
1.61888E+12,4/19/2021 23:51,ETHUSD,2164.92,2166.81,2160.74,2160.74,16.653948
1.61888E+12,4/19/2021 23:50,ETHUSD,2169.21,2172.88,2164.92,2164.92,17.575169
1.61888E+12,4/19/2021 23:49,ETHUSD,2170.71,2172.93,2166.5,2169.21,2.064914
1.61888E+12,4/19/2021 23:48,ETHUSD,2172.18,2175.75,2170.71,2170.71,25.431297
1.61888E+12,4/19/2021 23:47,ETHUSD,2175.51,2175.51,2169,2172.18,258.159911
1.61888E+12,4/19/2021 23:46,ETHUSD,2172.59,2176.37,2171.34,2175.51,14.153902
1.61888E+12,4/19/2021 23:45,ETHUSD,2163.55,2172.59,2162.34,2172.59,15.49216
1.61888E+12,4/19/2021 23:44,ETHUSD,2167.77,2167.77,2162.28,2163.55,7.080331
1.61888E+12,4/19/2021 23:43,ETHUSD,2164.75,2169,2164.3,2167.77,1.535139
1.61888E+12,4/19/2021 23:42,ETHUSD,2161,2165,2161,2164.75,10.160276
1.61888E+12,4/19/2021 23:41,ETHUSD,2164.27,2164.27,2157.39,2161,4.839118
1.61888E+12,4/19/2021 23:40,ETHUSD,2159.22,2165.74,2159.22,2164.27,18.891306
1.61888E+12,4/19/2021 23:39,ETHUSD,2167.02,2167.02,2159.22,2159.22,3.651091
1.61888E+12,4/19/2021 23:38,ETHUSD,2171.22,2171.67,2166.86,2167.02,2.572669
1.61888E+12,4/19/2021 23:37,ETHUSD,2168.78,2171.22,2164.96,2171.22,10.378688
1.61888E+12,4/19/2021 23:36,ETHUSD,2162.62,2168.78,2162.62,2168.78,1.70237
1.61888E+12,4/19/2021 23:35,ETHUSD,2160.95,2165.29,2159.22,2162.62,34.802866
1.61888E+12,4/19/2021 23:34,ETHUSD,2157.19,2162.06,2155.72,2160.95,4.789797
1.61888E+12,4/19/2021 23:33,ETHUSD,2159.83,2163.64,2157.19,2157.19,13.50042483
1.61888E+12,4/19/2021 23:32,ETHUSD,2159.63,2163.78,2155.96,2159.83,9.032985
1.61888E+12,4/19/2021 23:31,ETHUSD,2156.13,2163.58,2156.13,2159.63,13.280295
1.61888E+12,4/19/2021 23:30,ETHUSD,2156.5,2163.55,2154.59,2156.13,15.643832
1.61887E+12,4/19/2021 23:29,ETHUSD,2161.16,2165.3,2156.5,2156.5,17.4014
1.61887E+12,4/19/2021 23:28,ETHUSD,2160,2161.55,2158.03,2161.16,8.01949
1.61887E+12,4/19/2021 23:27,ETHUSD,2167.91,2167.91,2160,2160,13.443718
1.61887E+12,4/19/2021 23:26,ETHUSD,2172.05,2173.89,2167.09,2167.91,12.52909876
1.61887E+12,4/19/2021 23:25,ETHUSD,2174.68,2176.61,2170.65,2172.05,68.003573
1.61887E+12,4/19/2021 23:24,ETHUSD,2179.38,2180.98,2174.68,2174.68,4.446753
1.61887E+12,4/19/2021 23:23,ETHUSD,2181.57,2181.57,2177.17,2179.38,11.473257
1.61887E+12,4/19/2021 23:22,ETHUSD,2175.56,2183.49,2175.56,2181.57,8.641095
1.61887E+12,4/19/2021 23:21,ETHUSD,2179.39,2179.39,2175.56,2175.56,5.13317
1.61887E+12,4/19/2021 23:20,ETHUSD,2180.76,2183.9,2179.39,2179.39,240.71041
1.61887E+12,4/19/2021 23:19,ETHUSD,2181.42,2184.81,2177.81,2180.76,38.621715
1.61887E+12,4/19/2021 23:18,ETHUSD,2186.53,2186.53,2181.42,2181.42,5.759528
